Dataset,Model,Split,Train_Accuracy,Validation_Accuracy,Parameters
mushroom,RF,20/80,1.000000,0.940044,"{""max_features"": ""sqrt"", ""n_estimators"": 10}"
mushroom,RF,20/80,1.000000,0.931793,"{""max_features"": ""sqrt"", ""n_estimators"": 100}"
mushroom,RF,20/80,1.000000,0.927852,"{""max_features"": ""sqrt"", ""n_estimators"": 1000}"
mushroom,KNN,80/20,1.000000,0.943861,"{""n_neighbors"": 1}"
mushroom,KNN,80/20,1.000000,0.907192,"{""n_neighbors"": 3250}"
mushroom,KNN,80/20,1.000000,0.915936,"{""n_neighbors"": 6499}"
mushroom,KNN,50/50,1.000000,0.943861,"{""n_neighbors"": 1}"
mushroom,KNN,50/50,1.000000,0.910271,"{""n_neighbors"": 2031}"
mushroom,KNN,50/50,1.000000,0.899188,"{""n_neighbors"": 4062}"
mushroom,KNN,20/80,1.000000,0.943861,"{""n_neighbors"": 1}"
mushroom,KNN,20/80,1.000000,0.911133,"{""n_neighbors"": 812}"
mushroom,KNN,20/80,1.000000,0.911748,"{""n_neighbors"": 1624}"
mushroom,ANN,80/20,0.997169,0.848680,"{""hidden_layer_sizes"": 8, ""solver"": ""adam""}"
mushroom,ANN,80/20,0.998584,0.865170,"{""hidden_layer_sizes"": 128, ""solver"": ""adam""}"
mushroom,ANN,80/20,0.999231,0.868493,"{""hidden_layer_sizes"": 256, ""solver"": ""adam""}"
mushroom,ANN,50/50,1.000000,0.935964,"{""hidden_layer_sizes"": 8, ""solver"": ""lbfgs""}"
mushroom,ANN,50/50,1.000000,0.919476,"{""hidden_layer_sizes"": 128, ""solver"": ""lbfgs""}"
mushroom,ANN,50/50,1.000000,0.944464,"{""hidden_layer_sizes"": 256, ""solver"": ""lbfgs""}"
mushroom,ANN,20/80,1.000000,0.915903,"{""hidden_layer_sizes"": 8, ""solver"": ""lbfgs""}"
mushroom,ANN,20/80,1.000000,0.946066,"{""hidden_layer_sizes"": 128, ""solver"": ""lbfgs""}"
mushroom,ANN,20/80,0.999969,0.942620,"{""hidden_layer_sizes"": 256, ""solver"": ""lbfgs""}"
letter.1,SVM,80/20,0.962350,0.962350,"{""C"": 0.005}"
letter.1,SVM,80/20,0.962350,0.962350,"{""C"": 0.1}"
letter.1,SVM,80/20,0.962350,0.962350,"{""C"": 1}"
letter.1,SVM,80/20,0.962350,0.962350,"{""C"": 2}"
letter.1,SVM,80/20,0.962350,0.962350,"{""C"": 5}"
letter.1,SVM,80/20,0.962350,0.962350,"{""C"": 10}"
letter.1,SVM,80/20,0.962350,0.962350,"{""C"": 100}"
letter.1,SVM,50/50,0.962350,0.962350,"{""C"": 0.005}"
letter.1,SVM,50/50,0.962350,0.962350,"{""C"": 0.1}"
letter.1,SVM,50/50,0.962350,0.962350,"{""C"": 1}"
letter.1,SVM,50/50,0.962350,0.962350,"{""C"": 2}"
letter.1,SVM,50/50,0.962350,0.962350,"{""C"": 5}"
letter.1,SVM,50/50,0.962350,0.962350,"{""C"": 10}"
letter.1,SVM,50/50,0.962350,0.962350,"{""C"": 100}"
letter.1,SVM,20/80,0.962350,0.962350,"{""C"": 0.005}"
letter.1,SVM,20/80,0.962350,0.962350,"{""C"": 0.1}"
letter.1,SVM,20/80,0.962350,0.962350,"{""C"": 1}"
letter.1,SVM,20/80,0.962350,0.962350,"{""C"": 2}"
letter.1,SVM,20/80,0.962350,0.962350,"{""C"": 5}"
letter.1,SVM,20/80,0.962350,0.962350,"{""C"": 10}"
letter.1,SVM,20/80,0.962350,0.962350,"{""C"": 100}"
letter.1,LOGREG,80/20,0.962350,0.962350,"{""C"": 0.0001, ""solver"": ""saga""}"
letter.1,LOGREG,80/20,0.962350,0.962350,"{""C"": 0.01, ""solver"": ""saga""}"
letter.1,LOGREG,80/20,0.961825,0.961750,"{""C"": 1, ""solver"": ""saga""}"
letter.1,LOGREG,80/20,0.961812,0.961700,"{""C"": 100, ""solver"": ""saga""}"
letter.1,LOGREG,80/20,0.961812,0.961700,"{""C"": 10000, ""solver"": ""saga""}"
letter.1,LOGREG,50/50,0.962350,0.962350,"{""C"": 0.0001, ""solver"": ""saga""}"
letter.1,LOGREG,50/50,0.962350,0.962350,"{""C"": 0.01, ""solver"": ""saga""}"
letter.1,LOGREG,50/50,0.961825,0.961750,"{""C"": 1, ""solver"": ""saga""}"
letter.1,LOGREG,50/50,0.961812,0.961700,"{""C"": 100, ""solver"": ""saga""}"
letter.1,LOGREG,50/50,0.961812,0.961700,"{""C"": 10000, ""solver"": ""saga""}"
letter.1,LOGREG,20/80,0.958313,0.958300,"{""C"": 0.0001, ""solver"": ""liblinear""}"
letter.1,LOGREG,20/80,0.962350,0.962350,"{""C"": 0.01, ""solver"": ""liblinear""}"
letter.1,LOGREG,20/80,0.961850,0.961750,"{""C"": 1, ""solver"": ""liblinear""}"
letter.1,LOGREG,20/80,0.961812,0.961700,"{""C"": 100, ""solver"": ""liblinear""}"
letter.1,LOGREG,20/80,0.961812,0.961700,"{""C"": 10000, ""solver"": ""liblinear""}"
letter.1,RF,80/20,0.999425,0.991400,"{""max_features"": ""sqrt"", ""n_estimators"": 10}"
letter.1,RF,80/20,1.000000,0.992950,"{""max_features"": ""sqrt"", ""n_estimators"": 100}"
letter.1,RF,80/20,1.000000,0.993000,"{""max_features"": ""sqrt"", ""n_estimators"": 1000}"
letter.1,RF,50/50,0.999362,0.990950,"{""max_features"": ""sqrt"", ""n_estimators"": 10}"
letter.1,RF,50/50,1.000000,0.992500,"{""max_features"": ""sqrt"", ""n_estimators"": 100}"
letter.1,RF,50/50,1.000000,0.992800,"{""max_features"": ""sqrt"", ""n_estimators"": 1000}"
letter.1,RF,20/80,0.999525,0.990250,"{""max_features"": ""sqrt"", ""n_estimators"": 10}"
letter.1,RF,20/80,1.000000,0.992450,"{""max_features"": ""sqrt"", ""n_estimators"": 100}"
letter.1,RF,20/80,1.000000,0.992950,"{""max_features"": ""sqrt"", ""n_estimators"": 1000}"
letter.1,KNN,80/20,1.000000,0.994200,"{""n_neighbors"": 1}"
letter.1,KNN,80/20,1.000000,0.964800,"{""n_neighbors"": 8000}"
letter.1,KNN,80/20,1.000000,0.964800,"{""n_neighbors"": 16000}"
letter.1,KNN,50/50,1.000000,0.994200,"{""n_neighbors"": 1}"
letter.1,KNN,50/50,1.000000,0.964800,"{""n_neighbors"": 5000}"
letter.1,KNN,50/50,1.000000,0.964800,"{""n_neighbors"": 10000}"
letter.1,KNN,20/80,1.000000,0.994200,"{""n_neighbors"": 1}"
letter.1,KNN,20/80,1.000000,0.964800,"{""n_neighbors"": 2000}"
letter.1,KNN,20/80,1.000000,0.964800,"{""n_neighbors"": 4000}"
letter.1,ANN,80/20,0.967225,0.966800,"{""hidden_layer_sizes"": 8, ""solver"": ""adam""}"
letter.1,ANN,80/20,0.995813,0.993150,"{""hidden_layer_sizes"": 128, ""solver"": ""adam""}"
letter.1,ANN,80/20,0.996225,0.993300,"{""hidden_layer_sizes"": 256, ""solver"": ""adam""}"
letter.1,ANN,50/50,0.970662,0.970050,"{""hidden_layer_sizes"": 8, ""solver"": ""adam""}"
letter.1,ANN,50/50,0.995387,0.992600,"{""hidden_layer_sizes"": 128, ""solver"": ""adam""}"
letter.1,ANN,50/50,0.996237,0.993500,"{""hidden_layer_sizes"": 256, ""solver"": ""adam""}"
letter.1,ANN,20/80,0.996862,0.991300,"{""hidden_layer_sizes"": 8, ""solver"": ""lbfgs""}"
letter.1,ANN,20/80,1.000000,0.995150,"{""hidden_layer_sizes"": 128, ""solver"": ""lbfgs""}"
